animal
ant
butterfly
cage
camel
cat
cheetah
chicken
chimpanzee
deer
dolphin
donkey
dragonfly
duck
eagle
elephant
fish
fly
fox
giraffe
horse
kangaroo
kitten
lion
lizard
lobster
monkey
mouse
octopus
owl
panda
parrot
puppy
rabbit
scorpion
snail
snake
spider
squirrel
swan
tiger
whale
wolf
zebra
zoo
